999	4	2
# type	x	y	ani_set_id	tag	tag1	tag2	
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Block
# MARIO
# === Brick === 
1	112	0	426	1	0	0
1	160	0	426	1	0	1
1	176	0	426	1	0	1
1	192	0	426	1	0	1
1	208	0	426	1	0	1
1	224	0	426	1	0	1
1	240	0	426	1	0	1
1	256	0	426	1	0	1
1	272	0	426	1	0	2
1	288	0	426	1	0	2
1	304	0	426	1	0	2
1	320	0	426	1	0	2
1	336	0	426	1	0	2
1	384	0	426	1	0	2
1	112	16	426	1	0	0
1	384	16	426	1	0	2
1	112	32	426	1	0	0
1	384	32	426	1	0	2
1	112	48	426	1	0	0
1	384	48	426	1	0	2
1	112	64	426	1	0	0
1	336	64	426	1	0	2
1	352	64	426	1	0	2
1	368	64	426	1	0	2
1	384	64	426	1	0	2
1	112	80	426	1	0	0
1	320	80	426	1	0	2
1	112	96	426	1	0	0
1	304	96	426	1	0	2
1	112	112	426	1	0	0
1	288	112	426	1	0	2
1	112	128	426	1	1	0
1	272	128	426	1	1	2
1	112	144	426	1	1	0
1	256	144	426	1	1	1
1	112	160	426	1	1	0
1	128	160	426	1	1	0
1	144	160	426	1	1	1
1	160	160	426	1	1	1
1	176	160	426	1	1	1
1	192	160	426	1	1	1
1	208	160	426	1	1	1
1	224	160	426	1	1	1
1	240	160	426	1	1	1
# --- pipe ---
1	128	16	120	10	0	0
1	352	16	120	10	0	2
1	144	16	121	10	0	1
1	368	16	121	10	0	2
1	128	0	122	10	0	0
1	352	0	122	10	0	2
1	144	0	123	10	0	1
1	368	0	123	10	0	2
# === Coin ===
6	224	32	6	6	0	1
6	240	32	6	6	0	1
6	208	48	6	6	0	1
6	256	48	6	6	0	1
6	256	64	6	6	0	1
6	224	80	6	6	0	1
6	240	80	6	6	0	1
6	256	96	6	6	0	1
6	208	112	6	6	0	1
6	256	112	6	6	0	1
6	224	128	6	6	1	1
6	240	128	6	6	1	1
# --- SCENE PORTAL ----
#type	x	y	ani	scene	tag start_x start_y	pipeUp
50	356	32	0	1	2	2324	387	0	0	2
